what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.pde.ui,3.11.300.v20200214-1413,"org.eclipse.pde.ui",1589959688194
started,bundle,org.eclipse.rse.core,4.5.100.201901312252,"org.eclipse.rse.core",1589959688195
started,bundle,org.eclipse.rse.services,4.5.100.201901312252,"org.eclipse.rse.services",1589959688196
started,bundle,org.eclipse.rse.ui,4.5.100.201901312252,"org.eclipse.rse.ui",1589959688197
started,bundle,org.eclipse.search,3.11.900.v20200211-1227,"org.eclipse.search",1589959688198
started,bundle,org.eclipse.team.core,3.8.900.v20200211-0946,"org.eclipse.team.core",1589959688198
started,bundle,org.eclipse.team.ui,3.8.800.v20200211-0752,"org.eclipse.team.ui",1589959688199
started,bundle,org.eclipse.tips.ide,0.1.800.v20200115-1531,"org.eclipse.tips.ide",1589959688200
started,bundle,org.eclipse.tm.terminal.view.ui,4.6.0.202002151945,"org.eclipse.tm.terminal.view.ui",1589959688200
started,bundle,org.eclipse.ui,3.116.0.v20200203-1308,"org.eclipse.ui",1589959688201
started,bundle,org.eclipse.ui.console,3.9.100.v20200215-1209,"org.eclipse.ui.console",1589959688202
started,bundle,org.eclipse.ui.editors,3.13.100.v20200130-1507,"org.eclipse.ui.editors",1589959688202
started,bundle,org.eclipse.ui.ide,3.17.0.v20200217-1511,"org.eclipse.ui.ide",1589959688204
started,bundle,org.eclipse.ui.ide.application,1.3.600.v20200116-2127,"org.eclipse.ui.ide.application",1589959688205
started,bundle,org.eclipse.ui.monitoring,1.1.600.v20191106-1253,"org.eclipse.ui.monitoring",1589959688205
started,bundle,org.eclipse.ui.navigator,3.9.200.v20200213-1442,"org.eclipse.ui.navigator",1589959688206
started,bundle,org.eclipse.ui.net,1.3.700.v20200212-0844,"org.eclipse.ui.net",1589959688206
started,bundle,org.eclipse.ui.themes,1.2.900.v20200106-1021,"org.eclipse.ui.themes",1589959688206
started,bundle,org.eclipse.ui.trace,1.1.800.v20200106-1301,"org.eclipse.ui.trace",1589959688208
started,bundle,org.eclipse.ui.views.log,1.2.1000.v20200127-1026,"org.eclipse.ui.views.log",1589959688209
started,bundle,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"org.eclipse.ui.workbench",1589959688210
started,bundle,org.eclipse.ui.workbench.texteditor,3.14.100.v20200212-1049,"org.eclipse.ui.workbench.texteditor",1589959688211
started,bundle,org.eclipse.update.configurator,3.4.500.v20200225-0827,"org.eclipse.update.configurator",1589959688212
started,bundle,org.eclipse.userstorage,1.2.0.v20190307-0457,"org.eclipse.userstorage",1589959688212
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.400.v201903222010,"org.eclipse.wst.common.project.facet.core",1589959688212
started,bundle,org.eclipse.wst.sse.ui,1.6.300.v202001091420,"org.eclipse.wst.sse.ui",1589959688213
started,bundle,org.eclipse.wst.web,1.2.100.v201905161255,"org.eclipse.wst.web",1589959688214
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20100517,"org.eclipse.core.runtime.compatibility.auth",1589959688214
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20100529-0735,"org.eclipse.ecf.provider.filetransfer.httpclient",1589959688214
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.0.R201005261100,"org.eclipse.epp.usagedata.gathering",1589959688215
started,bundle,org.eclipse.epp.usagedata.recording,1.3.0.R201005261100,"org.eclipse.epp.usagedata.recording",1589959688216
started,bundle,org.eclipse.equinox.concurrent,1.0.100.v20100503,"org.eclipse.equinox.concurrent",1589959688414
started,bundle,org.eclipse.equinox.event,1.2.0.v20100503,"org.eclipse.equinox.event",1589959688414
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1589959688416
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1589959688418
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1589959688435
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1589959688436
os,sysinfo,,,"win32",1589959688443
arch,sysinfo,,,"x86_64",1589959688443
ws,sysinfo,,,"win32",1589959688443
locale,sysinfo,,,"en_US",1589959688443
processors,sysinfo,,,"8",1589959688443
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1589959688443
java.runtime.version,sysinfo,,,"13.0.1+9",1589959688443
java.specification.name,sysinfo,,,"Java Platform API Specification",1589959688443
java.specification.vendor,sysinfo,,,"Oracle Corporation",1589959688443
java.specification.version,sysinfo,,,"13",1589959688443
java.vendor,sysinfo,,,"Oracle Corporation",1589959688443
java.version,sysinfo,,,"13.0.1",1589959688443
java.vm.info,sysinfo,,,"mixed mode, sharing",1589959688443
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1589959688443
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1589959688443
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1589959688443
java.vm.specification.version,sysinfo,,,"13",1589959688443
java.vm.vendor,sysinfo,,,"Oracle Corporation",1589959688443
java.vm.version,sysinfo,,,"13.0.1+9",1589959688443
started,bundle,org.eclipse.oomph.setup.sync,1.12.0.v20200203-0955,"org.eclipse.oomph.setup.sync",1589959691017
started,bundle,org.eclipse.userstorage.oauth,1.1.0.v20190307-0457,"org.eclipse.userstorage.oauth",1589959691020
started,bundle,org.eclipse.emf.edit,2.16.0.v20190920-0401,"org.eclipse.emf.edit",1589959691100
started,bundle,org.eclipse.oomph.preferences,1.11.0.v20190920-0437,"org.eclipse.oomph.preferences",1589959691151
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.3.400.v20191224-0854,"org.eclipse.equinox.p2.artifact.repository",1589959691290
started,bundle,org.eclipse.oomph.predicates.edit,1.10.0.v20180706-1242,"org.eclipse.oomph.predicates.edit",1589959692327
started,bundle,org.eclipse.oomph.workingsets,1.10.0.v20180706-1242,"org.eclipse.oomph.workingsets",1589959692333
started,bundle,org.eclipse.oomph.predicates,1.11.0.v20190920-0437,"org.eclipse.oomph.predicates",1589959692367
started,bundle,org.eclipse.oomph.workingsets.editor,1.11.0.v20190929-1544,"org.eclipse.oomph.workingsets.editor",1589959692390
started,bundle,org.eclipse.oomph.resources,1.12.0.v20190920-0437,"org.eclipse.oomph.resources",1589959692672
started,bundle,org.eclipse.oomph.setup.p2,1.14.0.v20200202-1112,"org.eclipse.oomph.setup.p2",1589959693172
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589959694330
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589959697273
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589959704134
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589959705457
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589959706100
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589959708969
activated,editor,org.eclipse.jdt.ui,3.21.0.v20200226-1531,"org.eclipse.jdt.ui.CompilationUnitEditor",1589959710584
started,bundle,org.eclipse.jdt.junit,3.11.700.v20200214-0716,"org.eclipse.jdt.junit",1589959717133
started,bundle,org.eclipse.pde.api.tools,1.1.1200.v20200211-2228,"org.eclipse.pde.api.tools",1589959717196
started,bundle,org.eclipse.pde.api.tools.ui,1.1.1100.v20200211-2228,"org.eclipse.pde.api.tools.ui",1589959717199
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589959719547
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589959721017
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589959726609
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589959730635
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589959737457
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589959738426
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589959745078
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589959748256
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589959749295
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589959751063
executed,command,org.eclipse.ui.workbench.texteditor,3.14.100.v20200212-1049,"org.eclipse.ui.edit.text.goto.lineEnd",1589959764913
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589959770205
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589959771312
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589959777654
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589959778884
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589959780032
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589959793201
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589959805840
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589959806773
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589959812911
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589959818670
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589959826526
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589959827557
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.500.v201902162239,"org.eclipse.jst.ws.jaxws.ui",1589959829493
started,bundle,org.eclipse.mylyn.java.ui,3.24.2.v20180905-0014,"org.eclipse.mylyn.java.ui",1589959829544
executed,command,org.eclipse.ui,3.116.0.v20200203-1308,"org.eclipse.ui.edit.text.contentAssist.proposals",1589959830121
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589959838999
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589959842724
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589959866409
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589959871984
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589959883042
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589959884204
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589959884610
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589959886023
executed,command,org.eclipse.ui.workbench.texteditor,3.14.100.v20200212-1049,"org.eclipse.ui.edit.text.select.lineStart",1589959893957
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589959896635
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589959899150
executed,command,org.eclipse.ui,3.116.0.v20200203-1308,"org.eclipse.ui.edit.text.contentAssist.proposals",1589959911054
executed,command,org.eclipse.ui.workbench.texteditor,3.14.100.v20200212-1049,"org.eclipse.ui.edit.text.goto.lineStart",1589959919711
executed,command,org.eclipse.ui,3.116.0.v20200203-1308,"org.eclipse.ui.edit.text.contentAssist.proposals",1589959922679
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589959927679
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589959929421
