what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589572380570
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589572391235
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589572392378
executed,command,org.eclipse.ui.workbench.texteditor,3.14.100.v20200212-1049,"org.eclipse.ui.edit.text.goto.lineEnd",1589572403966
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589572405197
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589572409796
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589572410962
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589572412848
executed,command,org.eclipse.ui,3.116.0.v20200203-1308,"org.eclipse.ui.file.save",1589572413843
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589572414590
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589572425684
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589572426408
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589572430225
executed,command,org.eclipse.ui.workbench.texteditor,3.14.100.v20200212-1049,"org.eclipse.ui.edit.text.goto.lineEnd",1589572436977
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589572437941
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589572443785
activated,view,org.eclipse.jdt.ui,3.21.0.v20200226-1531,"org.eclipse.jdt.ui.PackageExplorer",1589572446472
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589572449586
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589572458880
opened,editor,org.eclipse.jdt.ui,3.21.0.v20200226-1531,"org.eclipse.jdt.ui.CompilationUnitEditor",1589572459204
activated,editor,org.eclipse.jdt.ui,3.21.0.v20200226-1531,"org.eclipse.jdt.ui.CompilationUnitEditor",1589572459472
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589572461255
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589572725884
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589572742879
