what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1591070305049
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1591070314119
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1591070315082
executed,command,org.eclipse.ui,3.116.0.v20200203-1308,"org.eclipse.ui.file.save",1591070315881
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1591070316617
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1591070334790
executed,command,org.eclipse.wst.sse.ui,1.6.300.v202001091420,"org.eclipse.wst.sse.ui.add.block.comment",1591070341741
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1591070365433
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1591070366583
executed,command,org.eclipse.ui,3.116.0.v20200203-1308,"org.eclipse.ui.file.save",1591070367299
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1591070367806
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1591070401113
activated,editor,org.eclipse.jdt.ui,3.21.0.v20200226-1531,"org.eclipse.jdt.ui.PropertiesFileEditor",1591070403866
executed,command,org.eclipse.ui,3.116.0.v20200203-1308,"org.eclipse.ui.edit.copy",1591070408779
activated,editor,org.eclipse.wst.xml.ui,1.2.300.v201904272112,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1591070411812
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1591070416075
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1591070418680
executed,command,org.eclipse.ui,3.116.0.v20200203-1308,"org.eclipse.ui.edit.paste",1591070427746
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1591070429880
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1591070432825
executed,command,org.eclipse.ui,3.116.0.v20200203-1308,"org.eclipse.ui.edit.paste",1591070439527
executed,command,org.eclipse.ui,3.116.0.v20200203-1308,"org.eclipse.ui.file.save",1591070443947
