what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.tm4e.ui,0.4.0.201911211357,"org.eclipse.tm4e.ui",1589708438285
started,bundle,org.eclipse.tm4e.registry,0.4.0.201911130739,"org.eclipse.tm4e.registry",1589708438459
executed,command,org.eclipse.jdt.debug.ui,3.10.600.v20200220-2022,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1589708442926
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589708444987
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589709245986
activated,view,org.eclipse.jdt.ui,3.21.0.v20200226-1531,"org.eclipse.jdt.ui.PackageExplorer",1589709251985
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589709255343
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589709267952
opened,editor,org.eclipse.jdt.ui,3.21.0.v20200226-1531,"org.eclipse.jdt.ui.CompilationUnitEditor",1589709268301
activated,editor,org.eclipse.jdt.ui,3.21.0.v20200226-1531,"org.eclipse.jdt.ui.CompilationUnitEditor",1589709268564
executed,command,org.eclipse.ui,3.116.0.v20200203-1308,"org.eclipse.ui.edit.text.contentAssist.proposals",1589709278924
activated,editor,org.eclipse.jdt.ui,3.21.0.v20200226-1531,"org.eclipse.jdt.ui.CompilationUnitEditor",1589709289758
activated,editor,org.eclipse.jdt.ui,3.21.0.v20200226-1531,"org.eclipse.jdt.ui.CompilationUnitEditor",1589709291535
executed,command,org.eclipse.ui,3.116.0.v20200203-1308,"org.eclipse.ui.edit.text.contentAssist.proposals",1589709294845
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589709300457
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589709300606
executed,command,org.eclipse.ui.workbench.texteditor,3.14.100.v20200212-1049,"org.eclipse.ui.edit.text.select.lineEnd",1589709305122
executed,command,org.eclipse.ui,3.116.0.v20200203-1308,"org.eclipse.ui.edit.delete",1589709312513
executed,command,org.eclipse.ui,3.116.0.v20200203-1308,"org.eclipse.ui.edit.delete",1589709312731
executed,command,org.eclipse.ui,3.116.0.v20200203-1308,"org.eclipse.ui.edit.delete",1589709313320
executed,command,org.eclipse.ui,3.116.0.v20200203-1308,"org.eclipse.ui.edit.delete",1589709313741
executed,command,org.eclipse.ui,3.116.0.v20200203-1308,"org.eclipse.ui.file.save",1589709353419
