what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.21.0.v20200226-1531,"org.eclipse.jdt.ui.CompilationUnitEditor",1591073242400
executed,command,org.eclipse.ui.workbench.texteditor,3.14.100.v20200212-1049,"org.eclipse.ui.edit.text.select.lineEnd",1591073248045
executed,command,org.eclipse.ui,3.116.0.v20200203-1308,"org.eclipse.ui.file.save",1591073250185
activated,view,org.eclipse.jdt.ui,3.21.0.v20200226-1531,"org.eclipse.jdt.ui.PackageExplorer",1591073252111
opened,editor,org.eclipse.jdt.ui,3.21.0.v20200226-1531,"org.eclipse.jdt.ui.CompilationUnitEditor",1591073256067
activated,editor,org.eclipse.jdt.ui,3.21.0.v20200226-1531,"org.eclipse.jdt.ui.CompilationUnitEditor",1591073256302
opened,view,org.eclipse.ui.ide,3.17.0.v20200217-1511,"org.eclipse.ui.views.ProblemView",1591073262025
executed,command,org.eclipse.ui,3.116.0.v20200203-1308,"org.eclipse.ui.file.save",1591073266815
activated,editor,org.eclipse.jdt.ui,3.21.0.v20200226-1531,"org.eclipse.jdt.ui.CompilationUnitEditor",1591073269839
closed,editor,org.eclipse.jdt.ui,3.21.0.v20200226-1531,"org.eclipse.jdt.ui.CompilationUnitEditor",1591073269865
activated,view,org.eclipse.jdt.ui,3.21.0.v20200226-1531,"org.eclipse.jdt.ui.PackageExplorer",1591073272439
opened,editor,org.eclipse.jdt.ui,3.21.0.v20200226-1531,"org.eclipse.jdt.ui.CompilationUnitEditor",1591073272710
activated,editor,org.eclipse.jdt.ui,3.21.0.v20200226-1531,"org.eclipse.jdt.ui.CompilationUnitEditor",1591073272956
executed,command,org.eclipse.ui,3.116.0.v20200203-1308,"org.eclipse.ui.file.save",1591073280149
activated,editor,org.eclipse.jdt.ui,3.21.0.v20200226-1531,"org.eclipse.jdt.ui.CompilationUnitEditor",1591073282672
closed,editor,org.eclipse.jdt.ui,3.21.0.v20200226-1531,"org.eclipse.jdt.ui.CompilationUnitEditor",1591073282694
activated,view,org.eclipse.jdt.ui,3.21.0.v20200226-1531,"org.eclipse.jdt.ui.PackageExplorer",1591073284581
activated,editor,org.eclipse.jdt.ui,3.21.0.v20200226-1531,"org.eclipse.jdt.ui.CompilationUnitEditor",1591073284905
executed,command,org.eclipse.ui,3.116.0.v20200203-1308,"org.eclipse.ui.file.save",1591073294022
activated,view,org.eclipse.jdt.ui,3.21.0.v20200226-1531,"org.eclipse.jdt.ui.PackageExplorer",1591073296174
opened,editor,org.eclipse.jdt.ui,3.21.0.v20200226-1531,"org.eclipse.jdt.ui.CompilationUnitEditor",1591073296464
activated,editor,org.eclipse.jdt.ui,3.21.0.v20200226-1531,"org.eclipse.jdt.ui.CompilationUnitEditor",1591073296730
executed,command,org.eclipse.ui,3.116.0.v20200203-1308,"org.eclipse.ui.file.save",1591073305186
activated,editor,org.eclipse.jdt.ui,3.21.0.v20200226-1531,"org.eclipse.jdt.ui.CompilationUnitEditor",1591073308886
executed,command,org.eclipse.jdt.debug.ui,3.10.600.v20200220-2022,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1591073314307
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1591073319636
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1591076649187
activated,view,org.eclipse.jdt.ui,3.21.0.v20200226-1531,"org.eclipse.jdt.ui.PackageExplorer",1591076653472
executed,command,org.eclipse.ui,3.116.0.v20200203-1308,"org.eclipse.ui.edit.copy",1591076661579
started,bundle,org.eclipse.jpt.jaxb.core,1.4.101.v201902121834,"org.eclipse.jpt.jaxb.core",1591076663712
executed,command,org.eclipse.ui,3.116.0.v20200203-1308,"org.eclipse.ui.edit.paste",1591076666874
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1591076678712
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1591076682491
executed,command,org.eclipse.ui,3.116.0.v20200203-1308,"org.eclipse.ui.edit.delete",1591076682513
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1591076686095
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1591076709565
executed,command,org.eclipse.ui,3.116.0.v20200203-1308,"org.eclipse.ui.edit.paste",1591076709675
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1591076711182
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1591076947639
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1591076951515
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1591076953888
closed,view,org.eclipse.mylyn.tasks.ui,3.24.2.v20180905-0003,"org.eclipse.mylyn.tasks.ui.views.tasks",1591076954386
closed,view,org.eclipse.ui.views,,"org.eclipse.ui.views.ContentOutline",1591076954465
closed,editor,org.eclipse.wst.xml.ui,1.2.300.v201904272112,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1591076954544
closed,editor,org.eclipse.jdt.ui,3.21.0.v20200226-1531,"org.eclipse.jdt.ui.CompilationUnitEditor",1591076954591
closed,editor,org.eclipse.jdt.ui,3.21.0.v20200226-1531,"org.eclipse.jdt.ui.CompilationUnitEditor",1591076954687
closed,editor,org.eclipse.jdt.ui,3.21.0.v20200226-1531,"org.eclipse.jdt.ui.CompilationUnitEditor",1591076954735
closed,editor,org.eclipse.jdt.ui,3.21.0.v20200226-1531,"org.eclipse.jdt.ui.CompilationUnitEditor",1591076954778
closed,editor,org.eclipse.jdt.ui,3.21.0.v20200226-1531,"org.eclipse.jdt.ui.CompilationUnitEditor",1591076954817
closed,editor,org.eclipse.jdt.ui,3.21.0.v20200226-1531,"org.eclipse.jdt.ui.CompilationUnitEditor",1591076954888
closed,view,org.eclipse.ui.ide,3.17.0.v20200217-1511,"org.eclipse.ui.views.ProblemView",1591076954912
closed,view,org.eclipse.ui.console,3.9.100.v20200215-1209,"org.eclipse.ui.console.ConsoleView",1591076954928
closed,view,org.eclipse.jdt.ui,3.21.0.v20200226-1531,"org.eclipse.jdt.ui.PackageExplorer",1591076954955
closed,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1591076955157
stopped,bundle,org.eclipse.m2e.logback.configuration,1.15.0.20191217-1149,"org.eclipse.m2e.logback.configuration",1591076955630
stopped,bundle,org.eclipse.egit.mylyn.ui,5.7.0.202003110725-r,"org.eclipse.egit.mylyn.ui",1591076955858
