what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.rse.core,4.5.100.201901312252,"org.eclipse.rse.core",1591055694096
started,bundle,org.eclipse.rse.services,4.5.100.201901312252,"org.eclipse.rse.services",1591055694097
started,bundle,org.eclipse.rse.ui,4.5.100.201901312252,"org.eclipse.rse.ui",1591055694098
started,bundle,org.eclipse.search,3.11.900.v20200211-1227,"org.eclipse.search",1591055694099
started,bundle,org.eclipse.team.core,3.8.900.v20200211-0946,"org.eclipse.team.core",1591055694100
started,bundle,org.eclipse.team.ui,3.8.800.v20200211-0752,"org.eclipse.team.ui",1591055694101
started,bundle,org.eclipse.tips.ide,0.1.800.v20200115-1531,"org.eclipse.tips.ide",1591055694102
started,bundle,org.eclipse.tm.terminal.view.ui,4.6.0.202002151945,"org.eclipse.tm.terminal.view.ui",1591055694103
started,bundle,org.eclipse.ui,3.116.0.v20200203-1308,"org.eclipse.ui",1591055694104
started,bundle,org.eclipse.ui.console,3.9.100.v20200215-1209,"org.eclipse.ui.console",1591055694104
started,bundle,org.eclipse.ui.editors,3.13.100.v20200130-1507,"org.eclipse.ui.editors",1591055694104
started,bundle,org.eclipse.ui.ide,3.17.0.v20200217-1511,"org.eclipse.ui.ide",1591055694106
started,bundle,org.eclipse.ui.ide.application,1.3.600.v20200116-2127,"org.eclipse.ui.ide.application",1591055694107
started,bundle,org.eclipse.ui.monitoring,1.1.600.v20191106-1253,"org.eclipse.ui.monitoring",1591055694107
started,bundle,org.eclipse.ui.navigator,3.9.200.v20200213-1442,"org.eclipse.ui.navigator",1591055694108
started,bundle,org.eclipse.ui.net,1.3.700.v20200212-0844,"org.eclipse.ui.net",1591055694108
started,bundle,org.eclipse.ui.themes,1.2.900.v20200106-1021,"org.eclipse.ui.themes",1591055694108
started,bundle,org.eclipse.ui.trace,1.1.800.v20200106-1301,"org.eclipse.ui.trace",1591055694109
started,bundle,org.eclipse.ui.views.log,1.2.1000.v20200127-1026,"org.eclipse.ui.views.log",1591055694110
started,bundle,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"org.eclipse.ui.workbench",1591055694111
started,bundle,org.eclipse.ui.workbench.texteditor,3.14.100.v20200212-1049,"org.eclipse.ui.workbench.texteditor",1591055694112
started,bundle,org.eclipse.update.configurator,3.4.500.v20200225-0827,"org.eclipse.update.configurator",1591055694112
started,bundle,org.eclipse.userstorage,1.2.0.v20190307-0457,"org.eclipse.userstorage",1591055694113
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.400.v201903222010,"org.eclipse.wst.common.project.facet.core",1591055694114
started,bundle,org.eclipse.wst.sse.ui,1.6.300.v202001091420,"org.eclipse.wst.sse.ui",1591055694115
started,bundle,org.eclipse.wst.web,1.2.100.v201905161255,"org.eclipse.wst.web",1591055694115
