what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jem.workbench,2.0.400.v201903222024,"org.eclipse.jem.workbench",1590968924447
activated,editor,org.eclipse.wst.xml.ui,1.2.300.v201904272112,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1590968925688
opened,editor,org.eclipse.jdt.ui,3.21.0.v20200226-1531,"org.eclipse.jdt.ui.CompilationUnitEditor",1590968929438
started,bundle,org.eclipse.jdt.debug,3.15.0.v20200224-0604,"org.eclipse.jdt.debug",1590968929972
started,bundle,org.eclipse.jdt.debug.ui,3.10.600.v20200220-2022,"org.eclipse.jdt.debug.ui",1590968930025
activated,editor,org.eclipse.jdt.ui,3.21.0.v20200226-1531,"org.eclipse.jdt.ui.CompilationUnitEditor",1590968930061
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1590968930250
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1590968937656
activated,editor,org.eclipse.jdt.ui,3.21.0.v20200226-1531,"org.eclipse.jdt.ui.CompilationUnitEditor",1590968940183
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1590968942997
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1590968946162
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1590968947774
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1590968949580
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1590968952106
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1590968953133
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1590968957718
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1590968980639
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1590968981934
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1590969014593
started,bundle,org.eclipse.wst.jsdt.js.bower,1.0.200.v201903222101,"org.eclipse.wst.jsdt.js.bower",1590969015343
started,bundle,org.eclipse.wildwebdeveloper,0.5.5.202002262342,"org.eclipse.wildwebdeveloper",1590969015391
started,bundle,org.eclipse.wst.jsdt.js.node,1.1.100.v201903222101,"org.eclipse.wst.jsdt.js.node",1590969015625
started,bundle,org.eclipse.wst.jsdt.js.npm,1.0.300.v201903222101,"org.eclipse.wst.jsdt.js.npm",1590969015646
started,bundle,org.eclipse.wst.jsdt.core,2.0.302.v201903222047,"org.eclipse.wst.jsdt.core",1590969015832
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.601.v201903222047,"org.eclipse.wst.jsdt.manipulation",1590969015958
started,bundle,org.eclipse.wst.jsdt.ui,2.0.402.v202002141644,"org.eclipse.wst.jsdt.ui",1590969015967
started,bundle,org.eclipse.wst.server.core,1.10.100.v201910252115,"org.eclipse.wst.server.core",1590969016080
started,bundle,org.eclipse.wst.server.ui,1.5.600.v201910252115,"org.eclipse.wst.server.ui",1590969016099
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1590969017149
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1590969018978
started,bundle,org.eclipse.cft.server.standalone.core,1.0.4.v201805291812,"org.eclipse.cft.server.standalone.core",1590969019911
started,bundle,org.eclipse.cft.server.core,1.2.3.v201805291812,"org.eclipse.cft.server.core",1590969021177
started,bundle,org.eclipse.m2e.launching,1.15.0.20200225-1921,"org.eclipse.m2e.launching",1590969022030
started,bundle,org.eclipse.cft.server.ui,1.0.110.v201805291812,"org.eclipse.cft.server.ui",1590969022147
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1590969023900
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1590969052114
opened,editor,org.eclipse.jdt.ui,3.21.0.v20200226-1531,"org.eclipse.jdt.ui.CompilationUnitEditor",1590969055656
activated,editor,org.eclipse.jdt.ui,3.21.0.v20200226-1531,"org.eclipse.jdt.ui.CompilationUnitEditor",1590969055921
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1590969059627
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1590969064020
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1590969066674
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1590969067459
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1590969069029
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1590969070127
started,bundle,org.eclipse.jdt.junit,3.11.700.v20200214-0716,"org.eclipse.jdt.junit",1590969075717
started,bundle,org.eclipse.pde.api.tools,1.1.1200.v20200211-2228,"org.eclipse.pde.api.tools",1590969075811
started,bundle,org.eclipse.pde.api.tools.ui,1.1.1100.v20200211-2228,"org.eclipse.pde.api.tools.ui",1590969075815
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1590969075825
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1590969076678
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1590969081334
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1590969082283
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1590969086975
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1590969107954
started,bundle,org.eclipse.compare,3.7.900.v20200129-0902,"org.eclipse.compare",1590969113465
started,bundle,org.eclipse.ui.genericeditor,1.1.700.v20200211-1227,"org.eclipse.ui.genericeditor",1590969113492
started,bundle,org.eclipse.cft.server.standalone.ui,1.0.4.v201805291812,"org.eclipse.cft.server.standalone.ui",1590969113921
started,bundle,org.eclipse.tm4e.ui,0.4.0.201911211357,"org.eclipse.tm4e.ui",1590969114323
started,bundle,org.eclipse.tm4e.registry,0.4.0.201911130739,"org.eclipse.tm4e.registry",1590969114619
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1590969127001
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1590969129488
executed,command,org.eclipse.jdt.ui,3.21.0.v20200226-1531,"org.eclipse.jdt.ui.edit.text.java.generate.constructor.using.fields",1590969129715
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1590969130375
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1590969132278
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1590969133992
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1590969136655
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1590969137582
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1590969160008
started,bundle,org.eclipse.mylyn.java.ui,3.24.2.v20180905-0014,"org.eclipse.mylyn.java.ui",1590969163867
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.500.v201902162239,"org.eclipse.jst.ws.jaxws.ui",1590969163909
executed,command,org.eclipse.ui,3.116.0.v20200203-1308,"org.eclipse.ui.edit.text.contentAssist.proposals",1590969164233
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1590969168255
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1590969177084
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1590969185377
