what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1590974316703
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1590974318370
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1590974328651
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1590974335050
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1590974341601
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1590974342657
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1590974349700
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1590974351344
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1590974356138
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1590974358753
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1590974375130
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1590974376293
executed,command,org.eclipse.ui,3.116.0.v20200203-1308,"org.eclipse.ui.edit.copy",1590974378632
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1590974383620
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1590974384745
executed,command,org.eclipse.ui,3.116.0.v20200203-1308,"org.eclipse.ui.edit.paste",1590974388115
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1590974390721
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1590974393026
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1590974401181
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1590974402038
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1590974407249
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1590974408358
executed,command,org.eclipse.ui.workbench.texteditor,3.14.100.v20200212-1049,"org.eclipse.ui.edit.text.goto.lineEnd",1590974410186
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1590974423823
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1590974428509
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1590974430245
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1590974431319
executed,command,org.eclipse.ui,3.116.0.v20200203-1308,"org.eclipse.ui.edit.delete",1590974437809
executed,command,org.eclipse.ui,3.116.0.v20200203-1308,"org.eclipse.ui.edit.undo",1590974439463
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1590974457757
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1590974457912
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1590974459786
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1590974465514
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1590974474969
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1590974476159
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1590974485950
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1590974487971
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1590974499032
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1590974508671
started,bundle,org.eclipse.jst.ws.annotations.core,1.2.200.v201902162033,"org.eclipse.jst.ws.annotations.core",1590974517016
